-1,674;-56,01388888878721
-1,662;-55,868055555623116
-1,65;-55,69444444445769
-1,638;-55,56250000005031
-1,626;-55,40277777748157
-1,614;-55,243055555880666
-1,602;-55,090277777638335
-1,59;-54,95138888890352
-1,578;-54,78472222226211
-1,566;-54,631944444475714
-1,554;-54,49305555554313
-1,542;-54,319444444375335
-1,53;-54,18055555564171
-1,518;-54,02083333322944
-1,506;-53,87500000006772
-1,494;-53,71527777775493
-1,482;-53,56250000006682
-1,47;-53,41666666660785
-1,458;-53,24999999996763
-1,446;-53,11111111123163
-1,434;-52,951388888722256
-1,422;-52,798611111231914
-1,41;-52,64583333334604
-1,398;-52,49305555546016
-1,386;-52,34027777773297
-1,374;-52,18750000002569
-1,362;-52,027777777870625
-1,35;-51,88888888883976
-1,338;-51,72222222229664
-1,326;-51,57638888883767
-1,314;-51,42361111105245
-1,302;-51,26388888903454
-1,29;-51,118055555380174
-1,278;-50,965277777888645
-1,266;-50,80555555557586
-1,254;-50,65277777769116
-1,242;-50,513888888953986
-1,23;-50,34027777778974
-1,218;-50,20138888885597
-1,206;-50,041666666641476
-1,194;-49,89583333333172
-1,182;-49,7291666666915
-1,17;-49,59027777780747
-1,158;-49,43749999997134
-1,146;-49,27083333333111
-1,134;-49,124999999901476
-1,122;-48,97916666672937
-1,11;-48,812500000069015
-1,098;-48,67361111108669
-1,086;-48,50694444439673
-1,074;-48,36805555561218
-1,062;-48,20138888887248
-1,05;-48,05555555556155
-1,038;-47,89583333334823
-1,026;-47,75694444441565
-1,014;-47,59027777777424
-1,002;-47,44444444446449
-0,99;-47,28472222220025
-0,978;-47,1388888888905
-0,966;-46,98611111115384
-0,954;-46,826388888839865
-0,942;-46,68055555552774
-0,9299999999999999;-46,52083333336933
-0,918;-46,36805555557895
-0,906;-46,22222222221828
-0,894;-46,06249999995641
-0,882;-45,90972222226711
-0,87;-45,75694444443216
-0,858;-45,61111111112122
-0,846;-45,45138888890732
-0,834;-45,29166666659512
-0,8220000000000001;-45,15277777781158
-0,81;-44,993055555546334
-0,798;-44,84027777780967
-0,786;-44,687499999973525
-0,774;-44,53472222223568
-0,762;-44,37500000002237
-0,75;-44,22916666661314
-0,738;-44,08333333337681
-0,726;-43,9097222222102
-0,714;-43,777777777778546
-0,702;-43,611111111112855
-0,69;-43,465277777733824
-0,6779999999999999;-43,30555555560855
-0,666;-43,159722222204245
-0,654;-43,00694444444212
